,
Max Tegmark,J
Christof Koch,W
Steven Pinker,J
Yoshua Bengio,J
Vladimir Vapnik,J
Guido van Rossum,W
Jeff Atwood,W?
Eric Schmidt,W
Stuart Russell,W?
Pieter Abbeel,W
Juergen Schmidhuber,W?
Tuomas Sandholm,W?
Tomaso Poggio,W
Kyle Vogt,W
Leslie Kaelblind,W?
Eric Weinstein,J
Greg Brockman,W?
Elon Musk,W
Ian Goodfellow,W?
Oriol Vinyals,W?
Chris Lattner,W?
Rajat Monga,I
Gavin Miller,W?
Rosalind Picard,W?
Jeff Hawkins,W?
Sean Carroll,W?
Kai-fu Lee,A
Chris Urmson,W
Gustav Soderstrom,W?
Kevin Scott,W?
George Hotz,W?
Paola Arlotta,W?
Keoki Jackson,W?
Pamela McCorduck,W?
Jeremy Howard,W?
Yann LeCun,W?
Vijay Kumar,I
Francois Chollet,W?
Colin Angle,W?
Regina Barzilay,J
Leonard Susskind,J
Peter Norvig,W?
Gary Marcus,J?
David Ferrucci,W?
Michio Kaku,A
Gary Kasparov,J
Sean Carroll,W?
Bjarne Stroustrup,W
Elon Musk,W
Michael Kearns,W?
Deva Newman,W?
Gilbert Strang,W?
Noam Chomsky,J
Ray Dalio,W
Whitney Cummings,W
Judea Pearl,J
Rohit Prasad,I
Michael Stevens,W
Sebastian Thrun,W
Jim Gates,B
Melanie Mitchell,W?
Donald Knuth,W
Stephen Kotkin,W
Grant Sanderson,W
Daniel Kahneman,J
Ayanna Howard,B
Paul Krugman,J
Cristos Goodrow,W?
David Chalmers,W?
Jim Keller,W?
Vladimir Vapnik,J
Scott Aaronson,J
Andrew Ng,A
Michael I. Jordan,W?
Marcus Hutter,W?
John Hopfield,W?
Alex Garland,W
Ann Druyan,J
Lee Smolin,J
Vitalik Buterin,W
Anca Dragan,W?
Simon Sinek,J
Nick Bostrom,W
,
Roger Penrose,W
David Silver,W?
Richard Dawkins,W
Eric Weinstein,J
Stephen Wolfram,J
Dmitry Korkin,W?
Jack Dorsey,W
Harry Cliff,W?
Daphne Koller,J
Ilya Sutskever,W?
Dawn Song,A
Stephan Schwarzman,J
Sertac Karaman,M
Kate Darling,W?
Karl Friston,W?
Alexander Fridman,J
Joscha Bach,W
Steven Pressfield,J
Ben Goertzel,J
David Patterson,W?
Robert Langer,J
Matt Botvinick,W?
Peter Singer,J
Sergey Levine,W?
Brian Kernighan,W
Jitendra Malik,I
Richard Karp,J
Ian Hutchinson,W
Manolis Kellis,W
Russ Tedrake,W?
Dileep George,I
Sara Seager,J
Sheldon Solomon,J
Grant Sanderson,W
David Eagleman,J
Francois Chollet,W?
Eugenia Kuyda,W?
David Fravor,W
Manolis Kellis,W
Stephen Wolfram,J
Ryan Hall,W
James Gosling,W
Joe Rogan,W
Michael Malice,J
Lisa Feldman Barrett,J
Scott Aaronson,J
Chris Lattner,W?
George Hotz,W?
Manolis Kellis,W
Eric Weinstein,J
Charles Isbell,B
Dan Carlin,W?
Alex Filippenko,W?
Yaron Brook,J
Andrew Huberman,W?
Lisa Feldman Barrett,J
Erik Brynjolfsson,W
Manolis Kellis,W
John Clarke,W?
Michael Littman,J
Matthew Johnson,W?
